time,AT100(pH),AT300(pH),AT400(CO2 %),FT100(kg/hr),FT101(kg/hr),FT102(kg/hr),FT103(kg/hr),FT104(kg/hr),FT105(L/min),FT106(kg/hr),FT107(kg/hr),FT108(kg/hr),FT109(kg/hr),FT116(L/min),FT201(kg/hr),FT300(L/min),FT301m3/hr,FT302(kg/hr),FT303m3/hr,FT304(kg/hr),FT305(kg/hr),FT402(kg/hr),LT101(%),LT104(%),LT108(%),LT401(%),PDT105(barg),PT102(barg),PT103(barg),PT104(bar),PT110(barg),PT111(barg),PT115a(barg),PT115b(barg),PT401(barg),PT402(barg),PT403(barg),TT100(0C),TT102(0C),TT103(0C),TT104(0C),TT105(0C),TT107(0C),TT108(0C),TT109(0C),TT110a(0C),TT110b(0C),TT112(0C),TT113(0C),TT117(0C),TT118(0C),TT119(0C),TT120(0C),TT121(0C),TT200(0C),TT201(0C),TT202(0C),TT203(0C),TT204(0C),TT205(0C),TT206(0C),TT207(0C),TT208(0C),TT209(0C),TT210(0C),TT211(0C),TT213(0C),TT214(0C),TT215(0C),TT216(0C),TT217(0C),TT300(0C),TT301(0C),TT302(0C),TT303(0C),TT304(0C),TT305(0C),TT306(0C),TT307(0C),TT308(0C),TT309(0C),TT400(0C),TT401(0C),TT402(0C),TT403(0C),TT404(0C),TT410(0C),TT411(0C),TT412(0C),TT413(0C),label,1_sampling,2_sampling,3_sampling,4_sampling,5_sampling,6_sampling
2014-01-20 17:23:02,0.768666153691747,0.7635294944952413,0.00022077404738417194,0.4010314608739751,0,0.10870241636816222,0.8436544066518784,0.23635235036511512,0.0012088092096631201,0,0,0.17894991400475535,0.1736820543663245,0.00019487672708856592,1.0,0,0.22483726270995802,0.3118479008109604,0.023401501882077846,0.08023215720347845,0.0,0.0,0.680171117938251,0.44136258766229997,0.9699766004194232,0.8077837931395612,0.3902976213702274,0.7801996371127375,0.8010800932151958,0.7544189327630213,0.7501143448503338,0.7270374115220462,0.7930572536390532,0.7839484879325145,0.7848405048471947,0.7864194196073255,0.7929491379128495,0.8116818025330952,0.8691036750302192,0.8264588470031748,0.882707541941949,0.8053437621835549,0.046838652599928254,0.0,0.0,0.1935590893490442,0.0,0.0,0.19710581559826945,0.08083455006531892,0.7207360220916463,0.7165839827100646,0.6940413572399362,0.16420530210370998,0.8415092617161495,0.8377215162151561,0.8430325901901057,0.8409821414729022,0.0,0.026509729607575805,0.2911819658417514,0.3103902516894377,0.5241196913336381,0.46330837845568373,0.33290810773304,0.3321050615884453,0.7558212047948514,0.028161722883397466,0.03333466422622933,0.9868140292365428,1.0,0.8470135181527354,0.8402179924566386,0.8599172201422336,0.8475268304687154,0.0,0.5610492415126489,0.5011660498412325,0.47423658741816843,0.48259430541490933,0.28378613728498836,0.9225417916378369,0.9180169050261391,0.928923365782703,0.6978053071933041,0.9477803210892499,0.007285466453182177,0.1720490308803675,0.22802746692496512,0.19325011344176612,1,0.00022077404738417194,0.0,0.0,0.0,0.0,0.0
2014-01-20 17:23:46,0.7344058412231096,0.7639942988571988,0.00022077404738417194,0.4090671075294665,0,0.06958011142592235,0.8442169971163234,0.23641961897172972,0.001206792783427852,0,0,0.3555985534695739,0.3508702641397648,9.038998992702317e-05,0.9947435998896113,0,0.21476692326365265,0.30169544071970067,0.020887877862045046,0.07960808090059524,0.0,0.0,0.5920953503213586,0.44136258766229997,0.9931754107947375,0.8660680176716872,0.39022587700030176,0.7439204202183414,0.7611884973338632,0.7248038644984525,0.7199639596216674,0.6975476954404736,0.761295917466408,0.7528730837903796,0.7504376319846726,0.7520917206449482,0.7617219710815712,0.8005807503950297,0.8568697116276418,0.7992798884975914,0.8763840675626913,0.7994820644230509,0.049048721834173525,0.006559862602633304,0.039051724794758824,0.19495630288047838,0.005233200264454729,0.0009953822040768001,0.3715230931915441,0.06733266733266419,0.7746754984436306,0.7182048620543078,0.6947428588834925,0.16420530210370998,0.8166205783700837,0.8066365770282138,0.8179001025547761,0.8107998353628743,0.05684142239240764,0.11161960460791609,0.3484304815854178,0.35300265396857067,0.2633393748377735,0.21222328854413197,0.2526350268434643,0.2555803200159674,0.7018113984016727,0.020390108895260273,0.029413514295971943,0.9793673009651553,0.9345382603265096,0.8173805531646012,0.8085853480463614,0.826534245805143,0.8166170044329553,0.020654928426043995,0.5262442814654074,0.4728515361993997,0.42446007020749965,0.4270469223124631,0.28562795884800773,0.8795005605054644,0.8739814756649986,0.8908453569200709,0.6978053071933041,0.9604914888073468,0.0075242293356144185,0.13516664307610582,0.18546507811600454,0.16210207710528524,1,0.00022077404738417194,0.0,0.0,0.0,0.0,0.0
2014-01-20 17:24:29,0.6921255561874808,0.7839465835164248,0.00022077404738417194,0.43229912804451764,0,0.029424896782490297,0.8476416553470651,0.23655647223128315,0.0012275663708422816,0,0,0.5313008724692464,0.4992352961514673,0.0002477124348750088,0.9870999677356515,0,0.21844931644862653,0.31146658867724725,0.017853880196987526,0.07272075364999542,0.0,0.0,0.4903309367438556,0.44136258766229997,0.989200160807878,0.9221405392189173,0.38880607654190835,0.7260992959358394,0.7389863978026309,0.7022547809747377,0.697869038523707,0.6757510763878454,0.7472911556827893,0.7397760693865951,0.7338153673001268,0.7347662818814451,0.7385659369402875,0.7682054606818935,0.8519938603411061,0.780560243396307,0.8869885924790184,0.5662601643409737,0.04980799909537681,0.013123190854599898,0.08976505175059435,0.19779101983157776,0.012928116707121573,0.004792069106781982,0.53374867345146,0.05912548989472555,0.7673203332226315,0.7139228219603198,0.6981079165759554,0.17263127315377247,0.7965798186931723,0.7863768398712265,0.7962302278938891,0.7852825812220656,0.1291400104908229,0.20605835858647747,0.37467090864021624,0.3573083869360416,0.09180461958600539,0.06603968410857641,0.15237203436181113,0.1573801646054731,0.688081394774795,0.018905600159457858,0.0147874593680285,0.819968239168483,0.7287828582525098,0.7928478672962207,0.7841948487113797,0.810835578711746,0.7951099162189461,0.03924017005183744,0.48405684011730465,0.4354345035641216,0.3668227997987461,0.36582224374927397,0.2859786832261897,0.8373084939665745,0.8414971161877371,0.8536538015914292,0.6978053071933041,0.9695438463499773,0.007652331973095172,0.10705800498827256,0.14740559493556837,0.13304644783080555,1,0.00022077404738417194,0.0,0.0,0.0,0.0,0.0
2014-01-20 17:25:12,0.6385768291458973,0.8199183247833339,0.0,0.4278465894059007,0,0.06245307965224934,0.8486503523397559,0.23642116791990836,0.001086054708357459,0,0,0.6382734124796905,0.6025164156283869,0.0018688328586799724,0.9840746143497212,0,0.10146258228693689,0.3200490308921703,0.020701978863339632,0.06989816891316297,0.0,0.0,0.6833602806518082,0.44136258766229997,0.9618981826675457,0.9776948856050084,0.3941320920218687,0.7161742212512046,0.7392122935524961,0.6924997385863563,0.6871564882424344,0.665382213958853,0.742067260567733,0.734745138427634,0.7247873277079604,0.7245357897520113,0.7275676221688647,0.7494294012121117,0.8181329892515201,0.7710044436293106,0.873838694456647,0.30820665372792555,0.052949768309602074,0.021684296062403963,0.16527789753502242,0.19897733320732325,0.023335493506998706,0.0120147982913541,0.5455236415693072,0.06571889648812146,0.6644086013069845,0.7186263949204246,0.6981079165759554,0.18418762751968032,0.7864465797936129,0.7757681518365365,0.7832012245949596,0.7754003527795517,0.20662731641509824,0.2805900659168321,0.3736130967876392,0.34240048809896195,0.039933379682194126,0.03990542252300111,0.06455577671897483,0.06775402834748823,0.681465600939434,0.008329904634093888,0.0033679133792399174,0.5772081925337589,0.4706250004626491,0.7847006552597406,0.776054541999903,0.8161379875738906,0.8035064659597309,0.05605305769558688,0.43800452819052915,0.39717530873850504,0.3106616796594879,0.30341717440131544,0.28796736595537453,0.8439990395394341,0.8419815128904897,0.8521568703955449,0.6978053071933041,0.9794253335627079,0.007778478669461131,0.0946568025806136,0.12030591841857796,0.1080297890950721,2,0.0003388344024792356,0.0,0.0,0.0,0.0,0.0
2014-01-20 17:25:55,0.5759476096483898,0.8469095655365564,3.0272821684613743e-05,0.3792726422457662,0,0.014454900701540097,0.8476978381272922,0.2362146414960916,0.0012382590834207029,0,0,0.6389742272582506,0.6044404472204947,0.00010270712995510986,0.9901868313771803,0,0.21624581521275396,0.31681656178129874,0.015380968934929518,0.0677198674388357,0.38317437467983445,0.0,0.599569837855924,0.44136258766229997,0.9254021009083813,0.9828157318231364,0.3916284197358233,0.6912198375750407,0.7104653186856413,0.6716098066419098,0.6663749555156553,0.6450782494514742,0.7190187014487377,0.712482994623663,0.6999950793511514,0.7012151389181811,0.7059346977517709,0.7541403354247933,0.8062170161502387,0.7464715473128436,0.8507484899558495,0.1696923621743427,0.056214576355696266,0.032842735560694836,0.2753883284249836,0.20136985619991687,0.03150252866899861,0.021459030170472126,0.44880315842860874,0.06546530392684247,0.7179444936938921,0.7186263949204246,0.6981079165759554,0.18418762751968032,0.7567104743742217,0.7466263635404369,0.7582874868017564,0.7495395211620215,0.2726010141662105,0.32571867316850045,0.34542265761766644,0.32151969476729025,0.10757601964689156,0.1295528110957358,0.00988492208184466,0.009801864414152872,0.6723090178928173,0.004726826671872741,0.0033145698987911976,0.33741957788315524,0.25304182420376886,0.766389205379399,0.7598213052318288,0.7830539164733645,0.7772082139506304,0.06950577151168513,0.39162705623903427,0.35664727141622254,0.2537615807675404,0.2466901120215046,0.2875753213168817,0.7842690956657563,0.7670009981084798,0.7881775742957977,0.6978053071933041,0.9827284863223036,0.007960427215277621,0.09378007392570864,0.10597139212987639,0.0941167830473304,2,0.00045689475757429925,3.0272821684613743e-05,0.0,0.0,0.0,0.0
2014-01-20 17:26:38,0.5390234518751456,0.8723057212100009,0.005590584234460576,0.45399866731215255,0,0.07008508377839584,0.8459830176488162,0.23737669192347147,0.0013265069411264405,0,0,0.56073120792053,0.5217492403116526,0.0,0.8656231103034878,0,0.07305825329934855,0.3725694295213306,0.01642574363786392,0.06416798984236202,0.6188135868557335,0.0,0.5037028278795195,0.44136258766229997,0.8981073654066127,0.9293893035630052,0.39028633329992135,0.6950700183801317,0.7082671599477576,0.6608023934025797,0.6540154395140191,0.6331532739660666,0.7225807610174237,0.7154479536657137,0.7023937534496095,0.7044447843090742,0.6931873563021114,0.7607678145992853,0.7967445742904848,0.7415215818985086,0.8316230187100953,0.10879591933816601,0.05850250938890089,0.039651921053595385,0.4048400635396108,0.20170809229866205,0.04290513087587444,0.032454130788107216,0.37368061399367214,0.1005609774840508,0.7731923491637618,0.7186263949204246,0.6981079165759554,0.18418762751968032,0.7511006266436668,0.7420128733746516,0.7572033363139896,0.7532208513019683,0.31466269484563836,0.33524380515191377,0.3215639697827495,0.298830284983,0.2582528902418151,0.29324208366418114,0.0,0.0,0.7712310255375647,0.0,0.0011584425837447565,0.1688001443627356,0.12047205489409807,0.7655951320719048,0.7671621932299262,0.760163310732981,0.7629672306917952,0.08037262875512585,0.3435257974098671,0.31617733296845074,0.20590019142242477,0.20438975166079154,0.2849740532827245,0.7316199436700304,0.7058506839020691,0.7188058048193957,0.6978053071933041,0.9855959631732589,0.008065265659028709,0.09422360878706382,0.10161575482007823,0.08675399472187828,2,0.0005749551126693629,0.005590584234460576,0.0,0.0,0.0,0.0
2014-01-20 17:27:22,0.5131126426014525,0.917717621916811,0.0038411495163101373,0.423596039699607,0,0.09774786829113757,0.84581096106213,0.23686031685637987,0.0015910017588576224,0,0,0.44157610450519735,0.4286142661340134,0.0,0.7275114066647186,0,0.03399458048092485,0.3661427108250845,0.019766183560547157,0.06391148427604648,0.8033895464692983,0.0,0.4076348119642406,0.963502217841067,0.8854661918691051,0.8392305961630234,0.38932521923684726,0.6809976157894271,0.6890496550729102,0.6546266625241919,0.6475937278243831,0.6266810928624027,0.7064900626574107,0.6991552587289758,0.6889124555417243,0.6905122924230946,0.686459628043008,0.7311417958830573,0.7840942678171396,0.7284584062393229,0.8147203822222986,0.11053776653433434,0.06266408392679335,0.05514894579364282,0.530366627657866,0.20602756624204766,0.06010414772544237,0.0401018263873989,0.36967622507734355,0.12054099746407587,0.7362879514932175,0.7186263949204246,0.6981079165759554,0.18418762751968032,0.745458175184349,0.7363421976319842,0.7555781209742198,0.7526747281511978,0.33794168294317384,0.32843746341357183,0.29675923646621327,0.2736867713121862,0.4145582534062262,0.43912397667147784,0.04599485783712143,0.045876376154809995,0.8367981316642239,0.008938025898610702,0.0,0.10041885272298012,0.08914023543032146,0.7568697789431269,0.7548028707260643,0.7303551614389834,0.7424813772690806,0.08877594275786138,0.2982434046220823,0.2779885898154302,0.1731733182585764,0.17557832655948635,0.27659765657702795,0.6994184667014292,0.6679160472112287,0.6857762511342367,0.6982475851149583,0.9870891401141069,0.008001870155838586,0.09226850065504211,0.10047834533129452,0.08397258291632603,3,0.0006930154677644265,0.005196447140194593,0.0038411495163101373,0.0,0.0,0.0
2014-01-20 17:28:05,0.49324964035997354,0.9704651988453641,0.002966432311981843,0.3883698285618937,0,0.15342595300181686,0.8447640292723979,0.23686514072356474,0.001398991496667749,0,0,0.329814155975496,0.30937841080752987,0.0,0.5117844137831673,0,0.17154609038090976,0.42303043844222904,0.018353797774587177,0.061208079660689196,0.037839918865949736,0.0,0.6506441303285282,0.44136258766229997,0.8906227375075535,0.27801475036116347,0.3848546006999798,0.69166929123029,0.7118999397395991,0.645420270343974,0.6370193953988783,0.6164916871111479,0.712653744105759,0.7040282168625693,0.698665508655009,0.6987616214753227,0.6755069200676631,0.7197450230152134,0.7740948997209438,0.7267214811243123,0.8029037065111595,0.18157721929152704,0.06637545138205425,0.062435099770268176,0.6317588820082223,0.20738001323099997,0.06755173340958542,0.046899810878859305,0.3708762157956471,0.09279950818412885,0.7026640900053263,0.7231223285458845,0.7027875059242397,0.18418762751968032,0.7443988047974628,0.7392459738351542,0.7440278261923892,0.7487083337292555,0.3523732637198107,0.33406835638108157,0.27102433235414414,0.2513686807073263,0.4681937113165926,0.4706417773144369,0.1702412034252967,0.1755212264975745,0.8508483010611418,0.023902740871738937,0.015195536993461212,0.11341973645563241,0.11369690054824533,0.73749309663713,0.7478958531463338,0.7032457912069585,0.7312414846540545,0.09446370048281838,0.25748806487210607,0.24076635130380386,0.1518679951537163,0.15596811521866316,0.26689552670014827,0.6724564252585976,0.6401728193423653,0.6482416292473516,0.7007862279839407,0.9877407066243671,0.008043474173903054,0.08182499164635626,0.09443173567704144,0.08000809172306034,3,0.0008110758228594903,0.00480231004592861,0.002966432311981843,0.0,0.0,0.0
2014-01-20 17:28:48,0.46572045097186354,0.9937397198481754,0.0038411495163101373,0.33992761331414556,0,0.0,0.8484418913452486,0.23728626285361454,0.0013567508219747976,0,0,0.26457443248336354,0.25353747561079204,0.00026051489497874486,0.31028211139722894,0,0.2249239015518106,0.3792360873567847,0.017619771869789025,0.059441125794932576,0.0,0.0,0.6737298360958892,0.44136258766229997,0.9088691807462761,0.8035462348965321,0.38173974453034654,0.6587224285743756,0.6804613814813579,0.6336799896337766,0.6263190152432708,0.6058953485204832,0.6786213573926616,0.6716120728514756,0.667500095639779,0.6675365794170747,0.6642284319813423,0.7041395017179264,0.7521810873229908,0.7179875531048951,0.7975057353443651,0.3618247400443131,0.07005651508853106,0.06483631908083909,0.7074078927228558,0.2071790611958635,0.07283791280431617,0.054531690336803273,0.35935223231896085,0.09008683624068681,0.6211845843128749,0.7186263949204246,0.7047018528423359,0.18418762751968032,0.731328220734266,0.7304191710948338,0.7264111385600911,0.733470897687428,0.36253152396301136,0.3452646883448913,0.24450223688270922,0.22567752588183088,0.4048846673885964,0.38771663421685876,0.37890390094176607,0.3879730019046741,0.7552796085868145,0.02629136815936106,0.017819955408083343,0.14663964069947966,0.14963793711379614,0.7291647801620984,0.7271388938897578,0.7171029836982399,0.724546669313594,0.0984313096089704,0.21884293405816435,0.20677104373813582,0.13779215775289733,0.1412664155875618,0.2708080907061027,0.7238363295630048,0.709025087654398,0.7110090106122238,0.7007862279839407,0.9890436626128241,0.007968642167959616,0.06411954856068514,0.08170855230784668,0.07426714070394413,3,0.0009291361779545539,0.004408172951662626,0.0038411495163101373,0.0,0.0,0.0
2014-01-20 17:29:31,0.4510371014686694,1.0,0.0047158670301322815,0.4558835314251972,0,0.2893903103118953,0.8451719010036024,0.23756520629275393,0.001229501134955872,0,0,0.27080616065963536,0.2673621174719996,0.0002956903173024399,0.1918619966051412,0,0.22561249212322312,0.3509860196017594,0.017130979521841616,0.055168552800653914,0.0,0.0,0.6971801572872542,0.44136258766229997,0.9344831980637445,0.868211657441658,0.37980134407270216,0.6245566419469775,0.6494630579336103,0.6074207430307936,0.6001589824082717,0.5802756036600945,0.6457508339107234,0.6384498040971627,0.633947527964147,0.6348123597965509,0.6369962753189735,0.6700345154642813,0.7452372798783484,0.6890228600643784,0.7812749739911586,0.5213237535303206,0.07282692308501693,0.0661547608134545,0.7566706294056049,0.21014011927796528,0.07191252029118478,0.062075546316498253,0.3333563797217671,0.040121417044488794,0.5941475095033999,0.7215562776604882,0.7047018528423359,0.20416995293565066,0.6959812643926648,0.6951711903989235,0.6905518255255307,0.6953402992374773,0.3759167221437756,0.3640762250157237,0.2178882183979245,0.19972412316075072,0.27742911439800677,0.25588331763300065,0.5695027020334638,0.5705660029734412,0.6973303940922047,0.026939848811855294,0.03250177852013225,0.1508611180543773,0.17618757046143285,0.6988840185283776,0.6929543932372066,0.7095530339399341,0.7016999385026388,0.0994984527426106,0.1885760769646141,0.17601610587678262,0.12266505123875171,0.12086216198284294,0.2735166420667299,0.7366689920421017,0.7318717674895829,0.7357502475455995,0.7007862279839407,0.9896951406070527,0.008031163250416085,0.04260398751574601,0.06101827587537412,0.059285087016701876,4,0.0010471965330496175,0.004014035857396642,0.0037786697160009735,0.0047158670301322815,0.0,0.0
